Энергия,eV   R    R^2

8974.966   0.011723   0.000137
8975.026   0.012255   0.000150
8975.086   0.012823   0.000164
8975.146   0.013433   0.000180
8975.207   0.014087   0.000198
8975.267   0.014791   0.000219
8975.327   0.015549   0.000242
8975.387   0.016369   0.000268
8975.447   0.017255   0.000298
8975.508   0.018216   0.000332
8975.568   0.019261   0.000371
8975.628   0.020400   0.000416
8975.688   0.021645   0.000469
8975.748   0.023009   0.000529
8975.808   0.024509   0.000601
8975.869   0.026162   0.000684
8975.929   0.027993   0.000784
8975.989   0.030027   0.000902
8976.049   0.032296   0.001043
8976.109   0.034838   0.001214
8976.169   0.037702   0.001421
8976.230   0.040945   0.001677
8976.290   0.044640   0.001993
8976.350   0.048877   0.002389
8976.410   0.053771   0.002891
8976.470   0.059474   0.003537
8976.531   0.066182   0.004380
8976.591   0.074161   0.005500
8976.651   0.083773   0.007018
8976.661   0.084105   0.007074
8976.673   0.086279   0.007444
8976.685   0.088544   0.007840
8976.698   0.090905   0.008264
8976.710   0.093369   0.008718
8976.722   0.095941   0.009205
8976.734   0.098630   0.009728
8976.746   0.101441   0.010290
8976.758   0.104384   0.010896
8976.770   0.107468   0.011549
8976.782   0.110702   0.012255
8976.794   0.114098   0.013018
8976.806   0.117666   0.013845
8976.818   0.121420   0.014743
8976.830   0.125374   0.015719
8976.842   0.129545   0.016782
8976.854   0.133949   0.017942
8976.866   0.138607   0.019212
8976.878   0.143540   0.020604
8976.890   0.148772   0.022133
8976.902   0.154333   0.023819
8976.914   0.160251   0.025681
8976.926   0.166565   0.027744
8976.938   0.173312   0.030037
8976.950   0.180541   0.032595
8976.962   0.188305   0.035459
8976.974   0.196665   0.038677
8976.986   0.205695   0.042310
8976.998   0.215480   0.046432
8977.010   0.226123   0.051131
8977.022   0.237745   0.056523
8977.035   0.250497   0.062749
8977.047   0.264561   0.069993
8977.059   0.280167   0.078494
8977.071   0.297607   0.088570
8977.083   0.317261   0.100654
8977.095   0.339634   0.115351
8977.107   0.365424   0.133535
8977.119   0.395632   0.156524
8977.131   0.431766   0.186422
8977.143   0.476281   0.226844
8977.155   0.533599   0.284728
8977.167   0.613055   0.375837
8977.179   0.738374   0.545197
8977.191   0.876275   0.767858
