"Position (mm)"	"Filtered Power (kW/mrad<sup>2</sup>)"
-2.00000e-1	6.19031e-4
-1.96364e-1	6.19382e-4
-1.92727e-1	6.19727e-4
-1.89091e-1	6.20065e-4
-1.85455e-1	6.20397e-4
-1.81818e-1	6.20723e-4
-1.78182e-1	6.21043e-4
-1.74545e-1	6.21356e-4
-1.70909e-1	6.21663e-4
-1.67273e-1	6.21964e-4
-1.63636e-1	6.22258e-4
-1.60000e-1	6.22546e-4
-1.56364e-1	6.22828e-4
-1.52727e-1	6.23103e-4
-1.49091e-1	6.23372e-4
-1.45455e-1	6.23635e-4
-1.41818e-1	6.23891e-4
-1.38182e-1	6.24141e-4
-1.34545e-1	6.24384e-4
-1.30909e-1	6.24621e-4
-1.27273e-1	6.24852e-4
-1.23636e-1	6.25076e-4
-1.20000e-1	6.25294e-4
-1.16364e-1	6.25505e-4
-1.12727e-1	6.25710e-4
-1.09091e-1	6.25909e-4
-1.05455e-1	6.26101e-4
-1.01818e-1	6.26286e-4
-9.81818e-2	6.26465e-4
-9.45455e-2	6.26638e-4
-9.09091e-2	6.26804e-4
-8.72727e-2	6.26964e-4
-8.36364e-2	6.27117e-4
-8.00000e-2	6.27264e-4
-7.63636e-2	6.27404e-4
-7.27273e-2	6.27538e-4
-6.90909e-2	6.27665e-4
-6.54545e-2	6.27786e-4
-6.18182e-2	6.27900e-4
-5.81818e-2	6.28008e-4
-5.45455e-2	6.28109e-4
-5.09091e-2	6.28204e-4
-4.72727e-2	6.28292e-4
-4.36364e-2	6.28374e-4
-4.00000e-2	6.28449e-4
-3.63636e-2	6.28518e-4
-3.27273e-2	6.28580e-4
-2.90909e-2	6.28636e-4
-2.54545e-2	6.28685e-4
-2.18182e-2	6.28727e-4
-1.81818e-2	6.28763e-4
-1.45455e-2	6.28793e-4
-1.09091e-2	6.28815e-4
-7.27273e-3	6.28832e-4
-3.63636e-3	6.28842e-4
0.00000e+0	6.28845e-4
3.63636e-3	6.28842e-4
7.27273e-3	6.28832e-4
1.09091e-2	6.28815e-4
1.45455e-2	6.28793e-4
1.81818e-2	6.28763e-4
2.18182e-2	6.28727e-4
2.54545e-2	6.28685e-4
2.90909e-2	6.28636e-4
3.27273e-2	6.28580e-4
3.63636e-2	6.28518e-4
4.00000e-2	6.28449e-4
4.36364e-2	6.28374e-4
4.72727e-2	6.28292e-4
5.09091e-2	6.28204e-4
5.45455e-2	6.28109e-4
5.81818e-2	6.28008e-4
6.18182e-2	6.27900e-4
6.54545e-2	6.27786e-4
6.90909e-2	6.27665e-4
7.27273e-2	6.27538e-4
7.63636e-2	6.27404e-4
8.00000e-2	6.27264e-4
8.36364e-2	6.27117e-4
8.72727e-2	6.26964e-4
9.09091e-2	6.26804e-4
9.45455e-2	6.26638e-4
9.81818e-2	6.26465e-4
1.01818e-1	6.26286e-4
1.05455e-1	6.26101e-4
1.09091e-1	6.25909e-4
1.12727e-1	6.25710e-4
1.16364e-1	6.25505e-4
1.20000e-1	6.25294e-4
1.23636e-1	6.25076e-4
1.27273e-1	6.24852e-4
1.30909e-1	6.24621e-4
1.34545e-1	6.24384e-4
1.38182e-1	6.24141e-4
1.41818e-1	6.23891e-4
1.45455e-1	6.23635e-4
1.49091e-1	6.23372e-4
1.52727e-1	6.23103e-4
1.56364e-1	6.22828e-4
1.60000e-1	6.22546e-4
1.63636e-1	6.22258e-4
1.67273e-1	6.21964e-4
1.70909e-1	6.21663e-4
1.74545e-1	6.21356e-4
1.78182e-1	6.21043e-4
1.81818e-1	6.20723e-4
1.85455e-1	6.20397e-4
1.89091e-1	6.20065e-4
1.92727e-1	6.19727e-4
1.96364e-1	6.19382e-4
2.00000e-1	6.19031e-4
