    Position  P.Density
          mm  kW/mrad^2
-1.00000e+01  9.044e-07
-9.81818e+00  9.789e-07
-9.63636e+00  1.061e-06
-9.45455e+00  1.151e-06
-9.27273e+00  1.252e-06
-9.09091e+00  1.365e-06
-8.90909e+00  1.494e-06
-8.72727e+00  1.641e-06
-8.54545e+00  1.810e-06
-8.36364e+00  2.004e-06
-8.18182e+00  2.226e-06
-8.00000e+00  2.480e-06
-7.81818e+00  2.770e-06
-7.63636e+00  3.100e-06
-7.45455e+00  3.474e-06
-7.27273e+00  3.898e-06
-7.09091e+00  4.380e-06
-6.90909e+00  4.930e-06
-6.72727e+00  5.560e-06
-6.54545e+00  6.286e-06
-6.36364e+00  7.125e-06
-6.18182e+00  8.100e-06
-6.00000e+00  9.234e-06
-5.81818e+00  1.056e-05
-5.63636e+00  1.211e-05
-5.45455e+00  1.392e-05
-5.27273e+00  1.605e-05
-5.09091e+00  1.855e-05
-4.90909e+00  2.150e-05
-4.72727e+00  2.501e-05
-4.54545e+00  2.918e-05
-4.36364e+00  3.419e-05
-4.18182e+00  4.022e-05
-4.00000e+00  4.748e-05
-3.81818e+00  5.624e-05
-3.63636e+00  6.679e-05
-3.45455e+00  7.950e-05
-3.27273e+00  9.480e-05
-3.09091e+00  1.132e-04
-2.90909e+00  1.353e-04
-2.72727e+00  1.616e-04
-2.54545e+00  1.929e-04
-2.36364e+00  2.298e-04
-2.18182e+00  2.727e-04
-2.00000e+00  3.221e-04
-1.81818e+00  3.779e-04
-1.63636e+00  4.397e-04
-1.45455e+00  5.064e-04
-1.27273e+00  5.762e-04
-1.09091e+00  6.469e-04
-9.09091e-01  7.153e-04
-7.27273e-01  7.780e-04
-5.45455e-01  8.315e-04
-3.63636e-01  8.725e-04
-1.81818e-01  8.982e-04
 0.00000e+00  9.070e-04
 1.81818e-01  8.982e-04
 3.63636e-01  8.725e-04
 5.45455e-01  8.315e-04
 7.27273e-01  7.780e-04
 9.09091e-01  7.153e-04
 1.09091e+00  6.469e-04
 1.27273e+00  5.762e-04
 1.45455e+00  5.064e-04
 1.63636e+00  4.397e-04
 1.81818e+00  3.779e-04
 2.00000e+00  3.221e-04
 2.18182e+00  2.727e-04
 2.36364e+00  2.298e-04
 2.54545e+00  1.929e-04
 2.72727e+00  1.616e-04
 2.90909e+00  1.352e-04
 3.09091e+00  1.132e-04
 3.27273e+00  9.481e-05
 3.45455e+00  7.951e-05
 3.63636e+00  6.680e-05
 3.81818e+00  5.625e-05
 4.00000e+00  4.748e-05
 4.18182e+00  4.021e-05
 4.36364e+00  3.418e-05
 4.54545e+00  2.917e-05
 4.72727e+00  2.499e-05
 4.90909e+00  2.149e-05
 5.09091e+00  1.854e-05
 5.27273e+00  1.605e-05
 5.45455e+00  1.392e-05
 5.63636e+00  1.211e-05
 5.81818e+00  1.056e-05
 6.00000e+00  9.236e-06
 6.18182e+00  8.099e-06
 6.36364e+00  7.123e-06
 6.54545e+00  6.282e-06
 6.72727e+00  5.557e-06
 6.90909e+00  4.930e-06
 7.09091e+00  4.386e-06
 7.27273e+00  3.911e-06
 7.45455e+00  3.497e-06
 7.63636e+00  3.132e-06
 7.81818e+00  2.811e-06
 8.00000e+00  2.528e-06
 8.18182e+00  2.278e-06
 8.36364e+00  2.056e-06
 8.54545e+00  1.859e-06
 8.72727e+00  1.684e-06
 8.90909e+00  1.529e-06
 9.09091e+00  1.390e-06
 9.27273e+00  1.266e-06
 9.45455e+00  1.155e-06
 9.63636e+00  1.055e-06
 9.81818e+00  9.657e-07
 1.00000e+01  8.850e-07
