     Energy       F.Density    GA.Brill.            PL            PC          PL45
         eV  ph/s/mr^2/0.1%  F.Dens/mm^2             -             -             -
1.00000e+02       5.182e+10    6.376e+10  9.929784e-01  0.000000e+00  0.000000e+00
1.49900e+02       6.774e+10    8.336e+10  9.910470e-01  0.000000e+00  0.000000e+00
1.99800e+02       8.183e+10    1.007e+11  9.894095e-01  0.000000e+00  0.000000e+00
2.49700e+02       9.467e+10    1.165e+11  9.879723e-01  0.000000e+00  0.000000e+00
2.99600e+02       1.066e+11    1.312e+11  9.866844e-01  0.000000e+00  0.000000e+00
3.49500e+02       1.177e+11    1.449e+11  9.855136e-01  0.000000e+00  0.000000e+00
3.99400e+02       1.282e+11    1.578e+11  9.844383e-01  0.000000e+00  0.000000e+00
4.49300e+02       1.381e+11    1.700e+11  9.834430e-01  0.000000e+00  0.000000e+00
4.99200e+02       1.475e+11    1.816e+11  9.825158e-01  0.000000e+00  0.000000e+00
5.49100e+02       1.566e+11    1.928e+11  9.816478e-01  0.000000e+00  0.000000e+00
5.99000e+02       1.652e+11    2.034e+11  9.808317e-01  0.000000e+00  0.000000e+00
6.48900e+02       1.735e+11    2.136e+11  9.800617e-01  0.000000e+00  0.000000e+00
6.98800e+02       1.815e+11    2.234e+11  9.793329e-01  0.000000e+00  0.000000e+00
7.48700e+02       1.891e+11    2.328e+11  9.786413e-01  0.000000e+00  0.000000e+00
7.98600e+02       1.965e+11    2.419e+11  9.779834e-01  0.000000e+00  0.000000e+00
8.48500e+02       2.036e+11    2.507e+11  9.773562e-01  0.000000e+00  0.000000e+00
8.98400e+02       2.105e+11    2.591e+11  9.767573e-01  0.000000e+00  0.000000e+00
9.48300e+02       2.171e+11    2.673e+11  9.761844e-01  0.000000e+00  0.000000e+00
9.98200e+02       2.236e+11    2.752e+11  9.756355e-01  0.000000e+00  0.000000e+00
1.04810e+03       2.298e+11    2.829e+11  9.751089e-01  0.000000e+00  0.000000e+00
1.09800e+03       2.358e+11    2.902e+11  9.746031e-01  0.000000e+00  0.000000e+00
1.14790e+03       2.416e+11    2.974e+11  9.741166e-01  0.000000e+00  0.000000e+00
1.19780e+03       2.472e+11    3.043e+11  9.736483e-01  0.000000e+00  0.000000e+00
1.24770e+03       2.526e+11    3.110e+11  9.731970e-01  0.000000e+00  0.000000e+00
1.29760e+03       2.579e+11    3.175e+11  9.727617e-01  0.000000e+00  0.000000e+00
1.34750e+03       2.630e+11    3.238e+11  9.723414e-01  0.000000e+00  0.000000e+00
1.39740e+03       2.680e+11    3.299e+11  9.719354e-01  0.000000e+00  0.000000e+00
1.44730e+03       2.728e+11    3.359e+11  9.715429e-01  0.000000e+00  0.000000e+00
1.49720e+03       2.775e+11    3.416e+11  9.711630e-01  0.000000e+00  0.000000e+00
1.54710e+03       2.820e+11    3.471e+11  9.707953e-01  0.000000e+00  0.000000e+00
1.59700e+03       2.863e+11    3.525e+11  9.704390e-01  0.000000e+00  0.000000e+00
1.64690e+03       2.906e+11    3.577e+11  9.700937e-01  0.000000e+00  0.000000e+00
1.69680e+03       2.947e+11    3.628e+11  9.697588e-01  0.000000e+00  0.000000e+00
1.74670e+03       2.987e+11    3.677e+11  9.694338e-01  0.000000e+00  0.000000e+00
1.79660e+03       3.025e+11    3.725e+11  9.691183e-01  0.000000e+00  0.000000e+00
1.84650e+03       3.063e+11    3.771e+11  9.688118e-01  0.000000e+00  0.000000e+00
1.89640e+03       3.099e+11    3.815e+11  9.685140e-01  0.000000e+00  0.000000e+00
1.94630e+03       3.134e+11    3.859e+11  9.682245e-01  0.000000e+00  0.000000e+00
1.99620e+03       3.168e+11    3.900e+11  9.679429e-01  0.000000e+00  0.000000e+00
2.04610e+03       3.201e+11    3.941e+11  9.676690e-01  0.000000e+00  0.000000e+00
2.09600e+03       3.233e+11    3.980e+11  9.674024e-01  0.000000e+00  0.000000e+00
2.14590e+03       3.264e+11    4.018e+11  9.671428e-01  0.000000e+00  0.000000e+00
2.19580e+03       3.294e+11    4.055e+11  9.668900e-01  0.000000e+00  0.000000e+00
2.24570e+03       3.323e+11    4.090e+11  9.666437e-01  0.000000e+00  0.000000e+00
