"Energy (eV)"	"Filtered"
1.00000e+2	0.00000e+0
1.49900e+2	0.00000e+0
1.99800e+2	0.00000e+0
2.49700e+2	0.00000e+0
2.99600e+2	0.00000e+0
3.49500e+2	0.00000e+0
3.99400e+2	0.00000e+0
4.49300e+2	0.00000e+0
4.99200e+2	0.00000e+0
5.49100e+2	0.00000e+0
5.99000e+2	0.00000e+0
6.48900e+2	0.00000e+0
6.98800e+2	0.00000e+0
7.48700e+2	0.00000e+0
7.98600e+2	0.00000e+0
8.48500e+2	0.00000e+0
8.98400e+2	0.00000e+0
9.48300e+2	0.00000e+0
9.98200e+2	0.00000e+0
1.04810e+3	0.00000e+0
1.09800e+3	0.00000e+0
1.14790e+3	0.00000e+0
1.19780e+3	3.10397e-52
1.24770e+3	1.18451e-45
1.29760e+3	5.38868e-40
1.34750e+3	4.20497e-35
1.39740e+3	7.53120e-31
1.44730e+3	3.91622e-27
1.49720e+3	7.15799e-24
1.54710e+3	5.37823e-21
1.59700e+3	1.89008e-18
1.64690e+3	3.45808e-16
1.69680e+3	3.60184e-14
1.74670e+3	2.30210e-12
1.79660e+3	9.61857e-11
1.84650e+3	0.00000e+0
1.89640e+3	0.00000e+0
1.94630e+3	0.00000e+0
1.99620e+3	0.00000e+0
2.04610e+3	0.00000e+0
2.09600e+3	0.00000e+0
2.14590e+3	0.00000e+0
2.19580e+3	0.00000e+0
2.24570e+3	0.00000e+0
2.29560e+3	0.00000e+0
2.34550e+3	0.00000e+0
2.39540e+3	0.00000e+0
2.44530e+3	0.00000e+0
2.49520e+3	0.00000e+0
2.54510e+3	0.00000e+0
2.59500e+3	0.00000e+0
2.64490e+3	0.00000e+0
2.69480e+3	0.00000e+0
2.74470e+3	0.00000e+0
2.79460e+3	0.00000e+0
2.84450e+3	0.00000e+0
2.89440e+3	0.00000e+0
2.94430e+3	2.45317e-34
2.99420e+3	1.81758e-32
3.04410e+3	1.06008e-30
3.09400e+3	4.94719e-29
3.14390e+3	1.87536e-27
3.19380e+3	5.85486e-26
3.24370e+3	1.52471e-24
3.29360e+3	3.35118e-23
3.34350e+3	6.28431e-22
3.39340e+3	1.01559e-20
3.44330e+3	1.42761e-19
3.49320e+3	1.76058e-18
3.54310e+3	1.92007e-17
3.59300e+3	1.86552e-16
3.64290e+3	1.62586e-15
3.69280e+3	1.27920e-14
3.74270e+3	9.13994e-14
3.79260e+3	5.96340e-13
3.84250e+3	3.57132e-12
3.89240e+3	1.97258e-11
3.94230e+3	1.00939e-10
3.99220e+3	4.80526e-10
4.04210e+3	2.13656e-9
4.09200e+3	8.90520e-9
4.14190e+3	3.49134e-8
4.19180e+3	1.29169e-7
4.24170e+3	4.52326e-7
4.29160e+3	1.50349e-6
4.34150e+3	4.75617e-6
4.39140e+3	1.43552e-5
4.44130e+3	4.14355e-5
4.49120e+3	1.14632e-4
4.54110e+3	3.04589e-4
4.59100e+3	7.78840e-4
4.64090e+3	1.92002e-3
4.69080e+3	4.57136e-3
4.74070e+3	1.05288e-2
4.79060e+3	2.34952e-2
4.84050e+3	5.08724e-2
4.89040e+3	1.07026e-1
4.94030e+3	2.19061e-1
4.99020e+3	4.36770e-1
5.04010e+3	8.49292e-1
5.09000e+3	1.61236e+0
5.13990e+3	2.99172e+0
5.18980e+3	5.43088e+0
5.23970e+3	9.65424e+0
5.28960e+3	1.68211e+1
5.33950e+3	2.87508e+1
5.38940e+3	4.82451e+1
5.43930e+3	7.95425e+1
5.48920e+3	1.28945e+2
5.53910e+3	2.05670e+2
5.58900e+3	3.22987e+2
5.63890e+3	4.99712e+2
5.68880e+3	7.62139e+2
5.73870e+3	1.14651e+3
5.78860e+3	1.70209e+3
5.83850e+3	2.49503e+3
5.88840e+3	3.61303e+3
5.93830e+3	5.17099e+3
5.98820e+3	7.31775e+3
6.03810e+3	1.02440e+4
6.08800e+3	1.41914e+4
6.13790e+3	1.94634e+4
6.18780e+3	2.64368e+4
6.23770e+3	3.55755e+4
6.28760e+3	4.74454e+4
6.33750e+3	6.27307e+4
6.38740e+3	8.22515e+4
6.43730e+3	1.06982e+5
6.48720e+3	1.38075e+5
6.53710e+3	1.76877e+5
6.58700e+3	2.24953e+5
6.63690e+3	2.84112e+5
6.68680e+3	3.56424e+5
6.73670e+3	4.44247e+5
6.78660e+3	5.50249e+5
6.83650e+3	6.77428e+5
6.88640e+3	8.29135e+5
6.93630e+3	1.00909e+6
6.98620e+3	1.22141e+6
7.03610e+3	1.47060e+6
7.08600e+3	1.76161e+6
7.13590e+3	2.09978e+6
7.18580e+3	2.49093e+6
7.23570e+3	2.94128e+6
7.28560e+3	3.45752e+6
7.33550e+3	4.04676e+6
7.38540e+3	4.71656e+6
7.43530e+3	5.47488e+6
7.48520e+3	6.33012e+6
7.53510e+3	7.29104e+6
7.58500e+3	8.36679e+6
7.63490e+3	9.56686e+6
7.68480e+3	1.09011e+7
7.73470e+3	1.23795e+7
7.78460e+3	1.40125e+7
7.83450e+3	1.58107e+7
7.88440e+3	1.77847e+7
7.93430e+3	1.99456e+7
7.98420e+3	2.23042e+7
8.03410e+3	2.48716e+7
8.08400e+3	2.76588e+7
8.13390e+3	3.06768e+7
8.18380e+3	3.39366e+7
8.23370e+3	3.74489e+7
8.28360e+3	4.12243e+7
8.33350e+3	4.52731e+7
8.38340e+3	4.96056e+7
8.43330e+3	5.42314e+7
8.48320e+3	5.91601e+7
8.53310e+3	6.44007e+7
8.58300e+3	6.99618e+7
8.63290e+3	7.58516e+7
8.68280e+3	8.20771e+7
8.73270e+3	8.86466e+7
8.78260e+3	9.55662e+7
8.83250e+3	1.02842e+8
8.88240e+3	1.10479e+8
8.93230e+3	1.18482e+8
8.98220e+3	1.26856e+8
9.03210e+3	1.35603e+8
9.08200e+3	1.44727e+8
9.13190e+3	1.54230e+8
9.18180e+3	1.64113e+8
9.23170e+3	1.74377e+8
9.28160e+3	1.85023e+8
9.33150e+3	1.96048e+8
9.38140e+3	2.07454e+8
9.43130e+3	2.19236e+8
9.48120e+3	2.31394e+8
9.53110e+3	2.43923e+8
9.58100e+3	2.56819e+8
9.63090e+3	2.70080e+8
9.68080e+3	2.83698e+8
9.73070e+3	2.97669e+8
9.78060e+3	3.11987e+8
9.83050e+3	3.26645e+8
9.88040e+3	3.41635e+8
9.93030e+3	3.56950e+8
9.98020e+3	3.72582e+8
1.00301e+4	3.88521e+8
1.00800e+4	4.04760e+8
1.01299e+4	4.21289e+8
1.01798e+4	4.38097e+8
1.02297e+4	4.55175e+8
1.02796e+4	4.72512e+8
1.03295e+4	4.90098e+8
1.03794e+4	5.07921e+8
1.04293e+4	5.25971e+8
1.04792e+4	5.44235e+8
1.05291e+4	5.62703e+8
1.05790e+4	5.81363e+8
1.06289e+4	6.00202e+8
1.06788e+4	6.19209e+8
1.07287e+4	6.38372e+8
1.07786e+4	6.57679e+8
1.08285e+4	6.77094e+8
1.08784e+4	6.96649e+8
1.09283e+4	7.16311e+8
1.09782e+4	7.36068e+8
1.10281e+4	7.55907e+8
1.10780e+4	7.75817e+8
1.11279e+4	7.95785e+8
1.11778e+4	8.15800e+8
1.12277e+4	8.35851e+8
1.12776e+4	8.55924e+8
1.13275e+4	8.76010e+8
1.13774e+4	8.96096e+8
1.14273e+4	9.16172e+8
1.14772e+4	9.36225e+8
1.15271e+4	9.56247e+8
1.15770e+4	9.76225e+8
