"Depth (mm)"	"Volume Power Density (W/mm<sup>3</sup>)"
0.00000e+0	2.36391e-2
3.62727e-3	1.93220e-2
7.25455e-3	1.63003e-2
1.08818e-2	1.40723e-2
1.45091e-2	1.23636e-2
1.81364e-2	1.10125e-2
2.17636e-2	9.91782e-3
2.53909e-2	9.01312e-3
2.90182e-2	8.25304e-3
3.26455e-2	7.60555e-3
3.62727e-2	7.04744e-3
3.99000e-2	6.56145e-3
4.35273e-2	6.13450e-3
4.71545e-2	5.75650e-3
5.07818e-2	5.41952e-3
5.44091e-2	5.11726e-3
5.80364e-2	4.84465e-3
6.16636e-2	4.59757e-3
6.52909e-2	4.37261e-3
6.89182e-2	4.16695e-3
7.25455e-2	3.97824e-3
7.61727e-2	3.80448e-3
7.98000e-2	3.64399e-3
8.34273e-2	3.49531e-3
8.70545e-2	3.35720e-3
9.06818e-2	3.22859e-3
9.43091e-2	3.10855e-3
9.79364e-2	2.99626e-3
1.01564e-1	2.89100e-3
1.05191e-1	2.79214e-3
1.08818e-1	2.69912e-3
1.12445e-1	2.61146e-3
1.16073e-1	2.52871e-3
1.19700e-1	2.45047e-3
1.23327e-1	2.37640e-3
1.26955e-1	2.30618e-3
1.30582e-1	2.23951e-3
1.34209e-1	2.17615e-3
1.37836e-1	2.11586e-3
1.41464e-1	2.05842e-3
1.45091e-1	2.00364e-3
1.48718e-1	1.95135e-3
1.52345e-1	1.90138e-3
1.55973e-1	1.85359e-3
1.59600e-1	1.80784e-3
1.63227e-1	1.76401e-3
1.66855e-1	1.72198e-3
1.70482e-1	1.68165e-3
1.74109e-1	1.64291e-3
1.77736e-1	1.60568e-3
1.81364e-1	1.56987e-3
1.84991e-1	1.53542e-3
1.88618e-1	1.50223e-3
1.92245e-1	1.47025e-3
1.95873e-1	1.43942e-3
1.99500e-1	1.40967e-3
2.03127e-1	1.38095e-3
2.06755e-1	1.35322e-3
2.10382e-1	1.32641e-3
2.14009e-1	1.30050e-3
2.17636e-1	1.27543e-3
2.21264e-1	1.25116e-3
2.24891e-1	1.22767e-3
2.28518e-1	1.20491e-3
2.32145e-1	1.18285e-3
2.35773e-1	1.16147e-3
2.39400e-1	1.14072e-3
2.43027e-1	1.12060e-3
2.46655e-1	1.10106e-3
2.50282e-1	1.08208e-3
2.53909e-1	1.06365e-3
2.57536e-1	1.04574e-3
2.61164e-1	1.02832e-3
2.64791e-1	1.01139e-3
2.68418e-1	9.94911e-4
2.72045e-1	9.78877e-4
2.75673e-1	9.63270e-4
2.79300e-1	9.48072e-4
2.82927e-1	9.33268e-4
2.86555e-1	9.18844e-4
2.90182e-1	9.04787e-4
2.93809e-1	8.91082e-4
2.97436e-1	8.77717e-4
3.01064e-1	8.64681e-4
3.04691e-1	8.51962e-4
3.08318e-1	8.39549e-4
3.11945e-1	8.27431e-4
3.15573e-1	8.15599e-4
3.19200e-1	8.04044e-4
3.22827e-1	7.92755e-4
3.26455e-1	7.81725e-4
3.30082e-1	7.70944e-4
3.33709e-1	7.60406e-4
3.37336e-1	7.50102e-4
3.40964e-1	7.40025e-4
3.44591e-1	7.30167e-4
3.48218e-1	7.20523e-4
3.51845e-1	7.11085e-4
3.55473e-1	7.01848e-4
3.59100e-1	6.92805e-4
3.62727e-1	6.83951e-4
3.66355e-1	6.75280e-4
3.69982e-1	6.66786e-4
3.73609e-1	6.58465e-4
3.77236e-1	6.50312e-4
3.80864e-1	6.42322e-4
3.84491e-1	6.34490e-4
3.88118e-1	6.26811e-4
3.91745e-1	6.19283e-4
3.95373e-1	6.11900e-4
3.99000e-1	6.04658e-4
