	30 V
0	-0.00310691
10	-0.0020696
20	-0.0031304
30	-0.00206705
40	-0.00311589
50	-0.00206009
60	-0.00312136
70	-0.00205569
80	-0.00312695
90	-0.00207264
100	-0.00312541
114	-0.00205872
121	-0.00311934
130	-0.00207311
140	-0.00311375
150	-0.00206901
160	-0.00311702
172	-0.0020752
188	-0.00311648
205	-0.00206824
226	-0.00310691
249	-0.0020661
273	-0.00312088
300	-0.00207234
329	-0.00311506
359	-0.00207288
392	-0.00311666
426	-0.00207811
460	-0.00310679
496	-0.0020746
531	-0.00311708
569	-0.00206806
620	-0.00310851
673	-0.00207775
730	-0.00310845
794	-0.0020774
860	-0.00311208
930	-0.00207246
1023	-0.00311529
1100	-0.00207817
1138	-0.00311553
1170	-0.00208198
1201	-0.00311113
1231	-0.00206711
1260	-0.00310465
1288	-0.00207436
1317	-0.00310572
1347	-0.00206972
1376	-0.00310881
1405	-0.00208001
1434	-0.00310786
1463	-0.00206348
1495	-0.00309917
1529	-0.00207781
1559	-0.00310435
1588	-0.00207835
1618	-0.0031078
1651	-0.00208251
1682	-0.00310708
1714	-0.00207805
1747	-0.00310697
1778	-0.00208465
1812	-0.00310185
1845	-0.00207472
1878	-0.00310387
1911	-0.00208436
1945	-0.00310274
1979	-0.00207948
2050	-0.00310238
2111	-0.00208686
2165	-0.00309965
2217	-0.00207341
2254	-0.0031012
2291	-0.00208745
2324	-0.00310369
2356	-0.00207609
2389	-0.00310363
2422	-0.0020859
2457	-0.00309447
2492	-0.0020953
2525	-0.00310929
2561	-0.00209084
2595	-0.00309899
2627	-0.00207656
2660	-0.0031119
2694	-0.00209037
2726	-0.00309923
2761	-0.00208561
2795	-0.00309049
2828	-0.00208674
2862	-0.00309192
2895	-0.00207823
2927	-0.00309126
2961	-0.00208686
2993	-0.00309477
3027	-0.00209441
3061	-0.00310447
3096	-0.00209536
3130	-0.00309376
3163	-0.00209025
3218	-0.00310482
3252	-0.00208662
3303	-0.00310078
3336	-0.0020956
3371	-0.00309477
3404	-0.00210732
3438	-0.00309608
3471	-0.00209471
3505	-0.00308948
3538	-0.00210054
3571	-0.00308484
3605	-0.00208632
3638	-0.0031009
3671	-0.00209435
3705	-0.00309691
3740	-0.0020953
3775	-0.00308864
3810	-0.00210655
3843	-0.00309435
3877	-0.00209548
3913	-0.00309489
3946	-0.00209738
3980	-0.00309275
4016	-0.00208977
4051	-0.00307877
4086	-0.00209959
4119	-0.00308543
4154	-0.00209875
4189	-0.00309525
4223	-0.00210452
4257	-0.00308502
4291	-0.0021022
4344	-0.00308852
4380	-0.00209988
4414	-0.00309364
4449	-0.00209715
4485	-0.00307817
4519	-0.00209982
4553	-0.00307591
4587	-0.00209572
4621	-0.00308043
4654	-0.00209429
4688	-0.00308293
4722	-0.00209786
4755	-0.00307544
4790	-0.00210785
4823	-0.00307913
4857	-0.00210315
4893	-0.00308311
4926	-0.00211226
4963	-0.0030843
4996	-0.00211232
5031	-0.00308103
5065	-0.0021169
5099	-0.00308466
5133	-0.00210494
5167	-0.00307449
5200	-0.00210036
5236	-0.0030771
5273	-0.00211386
5307	-0.00307264
5343	-0.00210625
5397	-0.00308222
5431	-0.00210762
5466	-0.00307907
5500	-0.00210756
5537	-0.00307675
5573	-0.00211541
5607	-0.00307704
5644	-0.00210857
5681	-0.00307508
5715	-0.00210666
5751	-0.00307282
5785	-0.00211464
5820	-0.00306586
5854	-0.00210553
5889	-0.00307127
5924	-0.0021135
5960	-0.00307205
5994	-0.00210768
6029	-0.00306521
6063	-0.00211261
6097	-0.00307008
6131	-0.00211565
6165	-0.00307538
6199	-0.00212046
6235	-0.00307895
6269	-0.00210375
6307	-0.00306741
6352	-0.00211993
6385	-0.00306556
6419	-0.00211261
6454	-0.00307234
6489	-0.00212023
6522	-0.00306229
6557	-0.00211154
6593	-0.00306021
6627	-0.00211184
6660	-0.00307068
6693	-0.00211981
6727	-0.00306533
6761	-0.00210643
6797	-0.00307044
6830	-0.00211803
6867	-0.0030639
6900	-0.00212255
6934	-0.00306842
6970	-0.00212136
7004	-0.00306866
7038	-0.00211904
7074	-0.00306235
