Время (мс)	Сигнал (В)
2105439	-0.00369321
2105449	-0.0046219
2105459	-0.00370987
2105469	-0.00462315
2105479	-0.00368286
2105489	-0.00461815
2105499	-0.00371278
2105509	-0.00461214
2105519	-0.00369518
2105532	-0.00459983
2105539	-0.00370493
2105549	-0.00460661
2105559	-0.00368899
2105569	-0.0046084
2105579	-0.00370678
2105589	-0.0046131
2105599	-0.00370273
2105612	-0.00461363
2105631	-0.00368132
2105650	-0.00463011
2105673	-0.00372188
2105698	-0.00462267
2105723	-0.00371177
2105750	-0.00463439
2105779	-0.00371076
2105807	-0.00462505
2105838	-0.00371945
2105871	-0.00460048
2105903	-0.00370499
2105936	-0.00460447
2105970	-0.00370666
2106005	-0.00460215
2106055	-0.00370499
2106116	-0.00461083
2106182	-0.00370255
2106264	-0.00462095
2106355	-0.00372379
2106435	-0.00461916
2106525	-0.0037182
2106574	-0.00462922
2106606	-0.00369833
2106635	-0.00460173
2106666	-0.0037066
2106696	-0.00460941
2106726	-0.00370564
2106760	-0.00459388
2106789	-0.00371808
2106818	-0.0046059
2106847	-0.00367888
2106876	-0.0046078
2106904	-0.00371516
2106932	-0.00462464
2106961	-0.00371998
2106990	-0.00461964
2107019	-0.00369904
2107048	-0.00461012
2107079	-0.00371546
2107108	-0.00459376
2107139	-0.00371451
2107170	-0.00460959
2107201	-0.0037113
2107233	-0.00459656
2107265	-0.00371552
2107296	-0.00458888
2107332	-0.00372498
2107366	-0.00459882
2107404	-0.00371266
2107462	-0.00461036
2107515	-0.00373545
2107582	-0.00458805
2107641	-0.00372058
2107675	-0.0046197
2107710	-0.00372034
2107743	-0.00459132
2107779	-0.00371968
2107813	-0.00461643
2107847	-0.00370594
2107880	-0.0046056
2107914	-0.00372206
2107948	-0.00458121
2107983	-0.00371142
2108017	-0.00459626
2108054	-0.00372783
2108091	-0.00458579
2108135	-0.00373152
2108169	-0.00458871
2108215	-0.00372498
2108254	-0.0046053
2108286	-0.00371897
2108318	-0.00458621
2108351	-0.00372843
2108383	-0.0046031
2108415	-0.00373533
2108448	-0.00456872
2108485	-0.00371421
2108518	-0.00459204
2108551	-0.00370969
2108590	-0.00459013
2108626	-0.0037229
2108661	-0.00457687
2108696	-0.00371701
2108732	-0.00457949
2108773	-0.00372278
2108811	-0.00458216
2108859	-0.00372742
2108896	-0.0045727
2108932	-0.00374175
2108966	-0.00456444
2109001	-0.00374169
2109035	-0.00456402
2109069	-0.00374074
2109103	-0.00456818
2109138	-0.00372712
2109171	-0.00457717
2109205	-0.0037361
2109239	-0.00455801
2109279	-0.00374764
2109316	-0.00456497
2109362	-0.00372914
2109407	-0.0045777
2109442	-0.00374038
2109478	-0.0045761
2109514	-0.00374657
2109564	-0.00458187
2109598	-0.00376406
2109636	-0.00457681
2109672	-0.00373884
2109708	-0.00454968
2109742	-0.00374027
2109779	-0.00455444
2109813	-0.00374728
2109849	-0.00455301
2109884	-0.00375079
2109920	-0.00455058
2109956	-0.00375401
2109993	-0.00456134
2110029	-0.00375799
2110068	-0.00455117
2110102	-0.00374062
2110137	-0.00456105
2110172	-0.00377691
2110207	-0.00457193
2110240	-0.003759
2110275	-0.00454808
2110310	-0.00375395
2110348	-0.00452702
2110382	-0.00374806
2110417	-0.00454558
2110450	-0.0037452
2110489	-0.0045275
2110529	-0.00375305
2110564	-0.00453755
2110599	-0.00378214
2110633	-0.00455861
2110669	-0.00376329
2110705	-0.00454879
2110741	-0.00377851
2110775	-0.0045426
2110811	-0.00378393
2110846	-0.00455581
2110881	-0.00377572
2110917	-0.00451233
2110952	-0.00376941
2110990	-0.00452577
2111025	-0.00376995
2111061	-0.00451982
2111095	-0.00377673
2111128	-0.00455355
2111162	-0.00379666
2111198	-0.00453422
2111236	-0.00377715
2111273	-0.00453005
2111310	-0.00379398
2111346	-0.00452214
2111385	-0.00376174
2111419	-0.00451768
2111452	-0.00379987
2111487	-0.00452785
2111523	-0.00379023
2111562	-0.00451833
2111597	-0.00378024
2111646	-0.00451322
2111683	-0.00379398
2111717	-0.00452738
2111753	-0.00379933
2111786	-0.00452238
2111823	-0.00379178
2111859	-0.00449781
2111892	-0.00379922
2111927	-0.00450858
2111959	-0.00379101
2111991	-0.00449876
2112023	-0.00379892
2112057	-0.00450031
2112099	-0.00378744
2112131	-0.00448199
2112165	-0.00382491
2112201	-0.00451756
2112237	-0.00380296
2112271	-0.0045018
2112307	-0.00380528
2112343	-0.00449478
2112384	-0.00382366
2112422	-0.00448621
2112457	-0.00381605
2112492	-0.00448776
2112529	-0.00382545
2112563	-0.00448764
2112596	-0.00381438
2112632	-0.00448383
2112671	-0.00381058
2112712	-0.00448496
2112751	-0.00384805
2112785	-0.00449633
2112822	-0.00384484
2112857	-0.00448449
2112895	-0.0038333
2112927	-0.00446962
2112961	-0.00382462
2112993	-0.00446825
2113026	-0.00381742
2113058	-0.00446765
2113089	-0.00381837
2113122	-0.00447771
2113154	-0.00383937
2113190	-0.00446742
2113222	-0.00382587
2113255	-0.00446747
2113291	-0.0038352
2113327	-0.00447009
2113364	-0.00382783
