	0.7 V
2257313	-0.00159766
2257324	-0.000563743
2257334	-0.00160397
2257344	-0.000552977
2257354	-0.00160533
2257364	-0.000560174
2257374	-0.00161176
2257384	-0.000554047
2257394	-0.00160236
2257404	-0.000545422
2257414	-0.00159879
2257424	-0.00054917
2257434	-0.00162074
2257444	-0.00055262
2257454	-0.0015948
2257464	-0.000569692
2257476	-0.00160664
2257491	-0.000556427
2257509	-0.00161128
2257530	-0.000547563
2257554	-0.00161533
2257578	-0.000546671
2257606	-0.00161313
2257635	-0.000569573
2257664	-0.0016089
2257696	-0.000540842
2257728	-0.00160224
2257761	-0.000543637
2257798	-0.00181657
2257835	-0.000541734
2257864	-0.00160153
2257894	-0.000541436
2257932	-0.00160165
2257977	-0.000538938
2258026	-0.00172133
2258081	-0.000547682
2258138	-0.00160521
2258198	-0.000565469
2258264	-0.00161485
2258333	-0.000542626
2258402	-0.00162824
2258455	-0.000536261
2258483	-0.00161027
2258509	-0.000549824
2258535	-0.00162419
2258562	-0.000538522
2258590	-0.00163615
2258615	-0.000582065
2258643	-0.00161562
2258669	-0.000535726
2258695	-0.00160878
2258721	-0.000531086
2258748	-0.00161342
2258774	-0.000540425
2258801	-0.00161009
2258831	-0.000536499
2258862	-0.00161574
2258893	-0.000540663
2258924	-0.0016111
2258955	-0.000529599
2258985	-0.00161283
2259016	-0.000528647
2259047	-0.00160819
2259079	-0.00052942
2259116	-0.00160777
2259152	-0.000549824
2259188	-0.00161128
2259247	-0.000534239
2259309	-0.00161479
2259368	-0.000527636
2259427	-0.00163662
2259485	-0.000534715
2259523	-0.00163383
2259560	-0.000533346
2259596	-0.00162401
2259632	-0.000539652
2259667	-0.0016371
2259703	-0.000536618
2259737	-0.00163204
2259771	-0.000535071
2259808	-0.00163305
2259842	-0.000523472
2259877	-0.00162681
2259910	-0.000657374
2259943	-0.00161896
2259976	-0.00052603
2260011	-0.00161551
2260044	-0.000526922
2260077	-0.00162455
2260112	-0.000520022
2260146	-0.00162062
2260182	-0.000524245
2260214	-0.00162853
2260248	-0.000523234
2260283	-0.00161931
2260318	-0.000531086
2260353	-0.00163395
2260390	-0.000543816
2260425	-0.00164007
2260464	-0.00052716
2260502	-0.00162526
2260538	-0.000517523
2260576	-0.00161997
2260613	-0.000520616
2260654	-0.00162812
2260690	-0.000523412
2260730	-0.00162901
2260766	-0.000523293
2260804	-0.00163151
2260844	-0.000514965
2260882	-0.00163204
2260918	-0.000558806
2260953	-0.00163061
2260989	-0.000515322
2261027	-0.00179271
2261064	-0.000544649
2261093	-0.001644
2261122	-0.000524483
2261151	-0.00162597
2261180	-0.000515382
2261211	-0.00163282
2261241	-0.000511277
2261271	-0.00162199
2261301	-0.000517702
2261330	-0.00163371
2261360	-0.000511575
2261390	-0.00163835
2261439	-0.000534893
2261470	-0.0016506
2261500	-0.000508779
2261549	-0.0016305
2261579	-0.000516334
2261608	-0.0016352
2261656	-0.000530372
2261686	-0.00163174
2261736	-0.00051562
2261769	-0.00163841
2261803	-0.000573737
2261851	-0.001628
2261881	-0.000510623
2261929	-0.00164204
2261959	-0.000505686
2261989	-0.00168136
2262036	-0.000513181
2262066	-0.00163543
2262100	-0.000515322
2262135	-0.00162532
2262172	-0.000523115
2262207	-0.00166708
2262242	-0.000507887
2262276	-0.00165316
2262310	-0.000525137
2262345	-0.00164739
2262379	-0.000523353
2262412	-0.00165245
2262447	-0.000519843
2262480	-0.00163906
2262514	-0.000511634
2262548	-0.00163389
2262584	-0.000504317
2262618	-0.00164263
2262652	-0.000794428
2262687	-0.00163638
2262723	-0.000510266
2262760	-0.00164043
2262796	-0.000509076
2262831	-0.00163032
2262867	-0.000525911
2262902	-0.00165935
2262938	-0.000504674
2262973	-0.00164983
2263009	-0.000529896
2263044	-0.00166161
2263080	-0.000518416
2263119	-0.00165566
2263157	-0.000522044
2263194	-0.0016603
2263229	-0.000547504
2263265	-0.00163644
2263301	-0.000556962
2263339	-0.0016393
2263376	-0.000509433
2263411	-0.00164358
2263448	-0.000508779
2263482	-0.00164317
2263516	-0.000519189
2263550	-0.00163543
2263585	-0.00051098
2263620	-0.00164447
2263655	-0.000588311
2263690	-0.00163841
2263738	-0.000506994
2263787	-0.00163983
2263827	-0.000500213
