Время (мс)	Сигнал (В)
1998595	-0.00486999
1998693	-0.00486553
1998793	-0.00486255
1998893	-0.0048685
1998993	-0.00486701
1999094	-0.00486553
1999194	-0.0048685
1999294	-0.0048566
1999394	-0.00486404
1999494	-0.00487296
1999594	-0.0048685
1999694	-0.00486701
1999793	-0.00485511
1999894	-0.0048566
1999994	-0.00487445
2000094	-0.0048685
2000194	-0.00486404
2000294	-0.00484916
2000394	-0.00486106
2000494	-0.00487148
2000594	-0.00486999
2000694	-0.00486553
2000794	-0.0048685
2000894	-0.00487296
2000994	-0.00487445
2001094	-0.00486404
2001194	-0.00486553
2001294	-0.0048566
2001394	-0.0048685
2001494	-0.00486255
2001595	-0.00487148
2001694	-0.0048685
2001794	-0.00485214
2001894	-0.00486999
2001994	-0.00486553
2002094	-0.00487594
2002194	-0.00486404
2002294	-0.00486404
2002393	-0.00486404
2002494	-0.00486255
2002595	-0.00485958
2002694	-0.0048566
2002794	-0.0048566
2002894	-0.0048566
2002994	-0.00486701
2003093	-0.00486701
2003194	-0.00486404
2003294	-0.00484916
2003394	-0.00486553
2003494	-0.00486701
2003595	-0.00485809
2003693	-0.00486255
2003794	-0.00484768
2003894	-0.00486255
2003994	-0.0048685
2004094	-0.00486404
2004194	-0.00485809
2004294	-0.0048566
2004393	-0.0048566
2004494	-0.00486404
2004594	-0.00486999
2004694	-0.0048566
2004794	-0.00485958
2004894	-0.00486404
2004994	-0.00486255
2005094	-0.00486255
2005194	-0.00486404
2005294	-0.00485065
2005393	-0.00486404
2005493	-0.0048685
2005595	-0.00487148
2005693	-0.00486404
2005794	-0.00486106
2005894	-0.00486106
2005993	-0.0048685
2006094	-0.00486999
2006194	-0.00485809
2006294	-0.00486106
2006394	-0.00487296
2006493	-0.00486255
2006593	-0.00487594
2006693	-0.00486553
2006793	-0.0048566
2006894	-0.00486553
2006994	-0.00486553
2007094	-0.00486553
2007194	-0.00486999
2007294	-0.00484916
