Время (мс)	Сигнал (В)
8546469	-0.00421061
8546569	-0.00423078
8546669	-0.00420175
8546769	-0.00422072
8546868	-0.00420901
8546968	-0.0042096
8547069	-0.00421918
8547168	-0.00421371
8547268	-0.0042008
8547368	-0.00421835
8547468	-0.00420918
8547568	-0.00421775
8547669	-0.00422257
8547769	-0.00422055
8547869	-0.004214
8547969	-0.00420811
8548069	-0.00422108
8548169	-0.00421585
8548269	-0.00421823
8548369	-0.00422013
8548469	-0.00421031
8548569	-0.0042162
8548669	-0.00420728
8548769	-0.00421466
8548869	-0.00421329
8548969	-0.00420984
8549069	-0.00421674
8549169	-0.00422013
8549269	-0.00421341
8549369	-0.00421442
8549469	-0.00420728
8549569	-0.00421008
8549669	-0.00421472
8549769	-0.0042102
8549869	-0.00421579
8549969	-0.00421186
8550069	-0.00421311
8550169	-0.00421347
8550269	-0.00420954
8550369	-0.00421894
8550469	-0.00421174
8550569	-0.00422197
8550669	-0.00421222
8550769	-0.00420871
8550869	-0.00422459
8550969	-0.00420663
8551069	-0.00421299
8551169	-0.00421436
8551269	-0.00421174
8551369	-0.00420591
8551469	-0.00420002
8551569	-0.00420841
8551669	-0.00423173
8551769	-0.00420359
8551869	-0.00421061
8551969	-0.00422078
8552069	-0.00421513
8552169	-0.00421436
8552269	-0.00421258
8552369	-0.00421924
8552469	-0.00421347
8552569	-0.00421192
8552669	-0.00421745
8552768	-0.00421204
8552868	-0.00421115
8552968	-0.00421662
8553068	-0.00421353
8553168	-0.00422245
8553268	-0.00421656
8553368	-0.0042074
8553468	-0.0042165
8553569	-0.00421067
8553669	-0.00421448
8553769	-0.00421823
8553869	-0.00421359
8553969	-0.0042325
8554069	-0.00420692
8554169	-0.00422144
8554269	-0.00422114
8554369	-0.00422067
8554469	-0.00421793
8554569	-0.00421281
8554669	-0.00422316
8554769	-0.00422596
8554869	-0.00420799
8554969	-0.00422501
8555069	-0.00421948
8555169	-0.00421775
8555269	-0.00422673
8555369	-0.00421692
8555469	-0.00421757
8555569	-0.00422477
8555669	-0.00422001
8555769	-0.00422114
8555869	-0.00421775
8555969	-0.00421965
8556069	-0.00422489
8556169	-0.00421174
8556269	-0.00421829
8556369	-0.00422709
8556469	-0.00421894
8556569	-0.00422465
8556669	-0.00422269
8556768	-0.00421079
8556868	-0.00422251
8556969	-0.00421882
8557069	-0.0042231
8557168	-0.00421852
8557268	-0.00421531
8557368	-0.00421846
