Время (мс),Сигнал (В) 
864468, -0.0052305
864478, -0.00443684
864488, -0.00517375
864498, -0.00441025
864508, -0.00518208
864518, -0.00445118
864528, -0.00520123
864538, -0.004424
864548, -0.0051606
864558, -0.00445285
864568, -0.00520046
864578, -0.00444345
864590, -0.0052145
864606, -0.00445469
864620, -0.00520111
864628, -0.0044469
864636, -0.00518916
864647, -0.00445427
864661, -0.00520135
864677, -0.00443036
864694, -0.0052092
864715, -0.00444862
864735, -0.00519427
864757, -0.00442191
864785, -0.0052305
864809, -0.00445029
864834, -0.00518749
864860, -0.00444083
864886, -0.00519457
864914, -0.0044491
864942, -0.00519737
864973, -0.00443262
865014, -0.00519243
865060, -0.00444678
865111, -0.00519302
865166, -0.00445707
865226, -0.00520778
865289, -0.00445481
865358, -0.00516013
865430, -0.00441775
865504, -0.00519207
865573, -0.00446492
865628, -0.00521021
865657, -0.00445546
865684, -0.00521093
865711, -0.00444071
865738, -0.00521961
865764, -0.00442631
865790, -0.00518731
865816, -0.00446207
865842, -0.00520897
865869, -0.00445201
865896, -0.00521081
865922, -0.00446909
865949, -0.0051976
865977, -0.00444095
866014, -0.00520962
866046, -0.00445945
866075, -0.00517565
866104, -0.00442013
866132, -0.00523562
866160, -0.00446433
866189, -0.00518553
866217, -0.00444517
866246, -0.00518856
866275, -0.00446296
866305, -0.005207
866335, -0.0044488
866381, -0.0052142
866433, -0.00442364
866480, -0.0051935
866537, -0.0044234
866592, -0.00521747
866649, -0.00443411
866704, -0.00522544
866750, -0.00441555
866781, -0.00518684
866811, -0.00446462
866843, -0.00521634
866873, -0.00444922
866902, -0.00519921
866931, -0.00446486
866959, -0.00521164
866988, -0.00443048
867018, -0.00519344
867048, -0.00444172
867078, -0.00518553
867107, -0.00442929
867137, -0.00517024
867166, -0.0044532
867198, -0.00520016
867230, -0.00444499
867260, -0.00516899
867290, -0.00444297
867320, -0.00521462
867349, -0.00444785
867379, -0.00520724
867410, -0.00446439
867441, -0.0051954
867472, -0.00446873
867520, -0.00518125
867569, -0.00444957
867616, -0.00521164
867664, -0.00444571
867713, -0.00517072
867762, -0.00441269
867811, -0.00520605
867859, -0.00442411
867890, -0.00517756
867920, -0.0044372
867950, -0.00522092
867981, -0.00442423
868011, -0.00520819
868042, -0.00444392
868072, -0.00521253
868103, -0.00448051
868132, -0.00517119
868163, -0.00442007
868195, -0.00519766
868224, -0.00444119
868254, -0.00519433
868285, -0.00448759
868316, -0.00520248
868347, -0.00444142
868377, -0.0051938
868407, -0.00442899
868441, -0.0052161
868472, -0.00445957
868502, -0.0052214
868532, -0.00445195
868562, -0.00518945
868613, -0.00443869
868664, -0.00519392
868716, -0.00445576
868747, -0.00513217
868795, -0.00443708
868842, -0.00516905
868895, -0.0044532
868928, -0.00519641
868958, -0.00448967
868989, -0.00519522
869019, -0.00445154
869049, -0.00519499
869079, -0.00442768
869109, -0.00519748
869139, -0.00446105
869172, -0.00519873
869201, -0.00444916
869233, -0.00522336
869263, -0.0044535
869295, -0.00521212
869325, -0.00449133
869356, -0.00518922
869387, -0.00445606
869418, -0.00520076
869451, -0.00445939
869481, -0.00518446
869513, -0.00444089
869543, -0.00520427
869573, -0.00443786
869603, -0.00518505
869656, -0.00442911
869705, -0.00522057
869754, -0.00445641
869785, -0.00518886
869834, -0.00444773
869882, -0.0051891
869933, -0.00443536
869964, -0.00519255
869995, -0.00446819
870029, -0.00521075
870061, -0.00444357
870093, -0.00519356
870126, -0.00442733
870157, -0.00522158
870188, -0.00448217
870219, -0.00522556
870250, -0.00445868
870282, -0.00518898
870312, -0.00444529
870343, -0.00516566
870375, -0.00445683
870405, -0.00523175
870436, -0.00443934
870467, -0.00517512
870497, -0.00442584
870529, -0.00516251
870560, -0.00448027
870591, -0.00519772
870621, -0.00444345
870652, -0.00516417
870703, -0.00445166
870750, -0.00521801
870797, -0.0044469
870827, -0.00521194
870877, -0.00445873
870928, -0.00520885
870977, -0.00447676
871008, -0.00517684
871038, -0.00448164
871069, -0.00521331
871098, -0.00447158
871127, -0.00518636
871157, -0.00443
871204, -0.00518214
871235, -0.00444505
871267, -0.0051907
871296, -0.00445011
871326, -0.00518731
871356, -0.00444529
871387, -0.00519231
871417, -0.0044516
871446, -0.00524912
871476, -0.00441805
871505, -0.00518874
871535, -0.0044538
871563, -0.00521563
