Время (мс),Сигнал (В) 
62718, -0.00270867
62728, -0.0036207
62738, -0.00271646
62748, -0.00361315
62758, -0.00269981
62768, -0.00361475
62778, -0.0027026
62788, -0.00362284
62799, -0.00270528
62809, -0.00361969
62819, -0.00270825
62829, -0.00362516
62839, -0.00269969
62849, -0.0036251
62859, -0.00270076
62870, -0.00363171
62881, -0.00270165
62895, -0.00362814
62915, -0.00269124
62935, -0.00364116
62957, -0.00268743
62981, -0.00363748
63004, -0.00269594
63032, -0.00364039
63058, -0.00269695
63087, -0.00364325
63115, -0.00269695
63145, -0.00364562
63177, -0.00268261
63209, -0.00364241
63242, -0.00268577
63291, -0.00364295
63349, -0.00268844
63411, -0.00364438
63476, -0.00268416
63544, -0.00364949
63615, -0.00267548
63698, -0.00364717
63782, -0.00267708
63847, -0.00365157
63881, -0.00267946
63913, -0.00365068
63945, -0.00268035
63978, -0.00364753
64008, -0.00266887
64039, -0.00365151
64068, -0.00267583
64098, -0.00365217
64128, -0.0026615
64158, -0.00366067
64187, -0.00266185
64219, -0.00365324
64249, -0.00267661
64278, -0.00365776
64310, -0.00266762
64340, -0.0036652
64372, -0.00265733
64403, -0.00367049
64435, -0.00265608
64469, -0.00367959
64501, -0.002659
64535, -0.0036696
64569, -0.00266923
64602, -0.0036712
64636, -0.00265412
64670, -0.00367025
64724, -0.00267
64773, -0.00366995
64838, -0.00265127
64902, -0.00367394
64953, -0.00265793
64988, -0.00368655
65023, -0.00265299
65057, -0.00368054
65091, -0.00266941
65125, -0.00368179
65162, -0.00266209
65195, -0.00367674
65229, -0.002654
65263, -0.00367549
65297, -0.00265049
65330, -0.00369512
65363, -0.00264698
65397, -0.00368988
65430, -0.00264841
65464, -0.00369779
65497, -0.00265495
65530, -0.00367614
65563, -0.00264889
65597, -0.00368518
65630, -0.00265489
65663, -0.00368459
65697, -0.00264704
65733, -0.0037019
65766, -0.00266304
65802, -0.00368667
65836, -0.00265918
65890, -0.00368132
65943, -0.00265109
65996, -0.00368518
66031, -0.00264984
66068, -0.00367977
66105, -0.00264347
66140, -0.00368417
66175, -0.00265085
66210, -0.00368007
66246, -0.00264092
66282, -0.00368881
66317, -0.00264264
66352, -0.00369381
66387, -0.00266239
66422, -0.0036919
66458, -0.00265335
66493, -0.00369256
66529, -0.00265037
66564, -0.00368828
66598, -0.00265644
66631, -0.00368976
66664, -0.00265186
66697, -0.00369184
66731, -0.0026634
66768, -0.00368132
66802, -0.00266221
66837, -0.00367793
66871, -0.00265769
66906, -0.00369089
66940, -0.00265174
66994, -0.00368494
67044, -0.00264829
67079, -0.00369827
67116, -0.00265638
67151, -0.00367733
67185, -0.00265359
67222, -0.00368584
