Время (мс),Сигнал (В) 
510000, -0.00370999
510010, -0.00282865
510020, -0.00371005
510030, -0.00283419
510040, -0.0037176
510050, -0.0028374
510060, -0.00370904
510070, -0.00284388
510080, -0.00371076
510095, -0.00283068
510112, -0.00370125
510131, -0.00282711
510152, -0.00370416
510176, -0.00282925
510199, -0.00370874
510224, -0.00282984
510257, -0.00371386
510299, -0.00282889
510359, -0.0037107
510424, -0.00283912
510496, -0.00371154
510568, -0.00282395
510646, -0.00370815
510723, -0.0028343
510806, -0.00372522
510891, -0.00282758
510976, -0.00371915
511064, -0.00282889
511143, -0.00371653
511212, -0.00281235
511263, -0.00373301
511307, -0.00283425
511351, -0.00372355
511410, -0.00281789
511460, -0.0037069
511517, -0.0028258
511573, -0.00370606
511628, -0.00282473
511694, -0.00372195
511759, -0.00282675
511823, -0.00373224
511888, -0.00282479
511956, -0.00371445
512026, -0.00283544
512093, -0.0037317
512161, -0.00282681
512228, -0.00371534
512296, -0.00281515
512364, -0.0037298
512430, -0.00281539
512498, -0.00373646
512563, -0.0028308
512629, -0.00371933
512683, -0.00281224
512749, -0.0037248
512815, -0.00282437
512880, -0.00371749
512947, -0.00282163
513013, -0.00371915
513080, -0.00283151
513146, -0.00372433
513212, -0.00281872
513277, -0.00371487
513343, -0.00282949
513414, -0.0037223
513481, -0.00282651
513548, -0.00371183
513614, -0.00282812
513682, -0.00372379
513749, -0.00282259
513815, -0.00371749
513884, -0.00280777
513938, -0.00372468
514004, -0.00282526
514070, -0.00373521
514135, -0.0028343
514200, -0.00374301
514265, -0.00281818
514328, -0.00371612
514392, -0.0028308
514456, -0.00372778
514519, -0.00281307
514584, -0.00372665
514647, -0.00282354
514714, -0.00372748
514778, -0.00281771
514844, -0.0037326
514910, -0.00281735
514974, -0.00372581
515044, -0.00281099
515118, -0.00373028
515192, -0.00282449
515282, -0.0037339
515332, -0.00280837
515385, -0.00373331
515451, -0.00281973
515517, -0.00373194
515587, -0.00281432
515638, -0.00373164
515705, -0.00281866
515772, -0.00373319
515838, -0.00281331
515905, -0.0037273
515972, -0.0028186
516038, -0.00374354
516106, -0.00281354
516176, -0.00372861
516243, -0.00281878
516308, -0.00373462
516375, -0.00281307
516443, -0.0037414
516511, -0.00281884
516581, -0.00374318
516649, -0.00280391
516699, -0.00373325
516766, -0.00282235
516832, -0.00373848
516899, -0.0028051
516967, -0.00374646
517035, -0.00282205
517101, -0.00375169
517167, -0.00279957
517233, -0.00373319
517299, -0.00279939
517365, -0.00373729
517431, -0.00280296
517501, -0.00373539
517568, -0.00281479
517633, -0.00374086
517699, -0.00280254
517765, -0.00374229
517831, -0.00279623
517897, -0.00372712
517963, -0.00280355
518032, -0.00373152
518097, -0.00280986
518163, -0.00375282
518228, -0.00280593
518294, -0.00373063
518359, -0.00280813
518429, -0.00374533
518495, -0.00280135
518561, -0.00373837
518626, -0.00279552
518692, -0.0037461
518759, -0.00280498
518825, -0.00373236
518891, -0.00280361
518959, -0.00374437
519029, -0.00280885
519096, -0.00374312
519162, -0.00281039
519229, -0.0037439
519279, -0.00279594
519345, -0.00373783
519413, -0.00280825
519483, -0.00373967
519550, -0.00278826
519616, -0.00373497
519682, -0.00279362
519747, -0.00374943
519812, -0.00279838
519877, -0.00373842
519943, -0.00280962
520008, -0.00373825
520074, -0.00280296
520139, -0.00374479
520205, -0.0027951
520270, -0.00375853
520336, -0.0027904
520401, -0.00374753
520467, -0.00279957
520533, -0.00374907
520599, -0.00278208
520664, -0.0037411
520729, -0.00280129
520794, -0.00374872
520858, -0.00278463
520923, -0.00375704
520988, -0.00280183
521054, -0.00375609
521120, -0.0027979
521186, -0.00374729
521251, -0.00279998
521319, -0.00375157
521385, -0.00279153
521453, -0.00375514
521518, -0.00278933
521585, -0.0037593
521651, -0.00279112
521720, -0.00374384
521787, -0.0027904
521852, -0.00374063
521919, -0.00278095
521989, -0.00373979
522039, -0.00279219
522105, -0.00374431
522172, -0.0027951
