Время (мс),Сигнал (В) 
642359, -0.00306166
642369, -0.00191948
642379, -0.00307445
642389, -0.00192549
642399, -0.00306398
642409, -0.00193066
642419, -0.00306838
642429, -0.00191061
642439, -0.00307159
642449, -0.00192299
642459, -0.00306439
642469, -0.00191805
642479, -0.00306249
642489, -0.00193078
642499, -0.00305862
642509, -0.00191537
642519, -0.00306606
642532, -0.00191918
642550, -0.0030563
642570, -0.00190806
642597, -0.00305726
642625, -0.0019378
642656, -0.00306451
642688, -0.00191174
642722, -0.00306695
642759, -0.00191514
642796, -0.00306106
642834, -0.00192668
642874, -0.00306642
642914, -0.00193078
642957, -0.00307528
643003, -0.00191543
643064, -0.00306321
643133, -0.00192935
643207, -0.00305868
643287, -0.00192733
643360, -0.00306612
643430, -0.00193631
643473, -0.00306999
643505, -0.00191966
643536, -0.00306207
643564, -0.00191531
643592, -0.00305666
643621, -0.00191948
643650, -0.0030544
643679, -0.00193036
643707, -0.0030757
643735, -0.00192132
643764, -0.00306606
643792, -0.00191079
643822, -0.00306291
643851, -0.00192132
643881, -0.00306053
643911, -0.00192662
643942, -0.00306374
643972, -0.00191502
644002, -0.00305012
644034, -0.00192031
644066, -0.00305815
644097, -0.0019077
644129, -0.00305636
644162, -0.00192792
644195, -0.00305981
644230, -0.00191912
644263, -0.00305333
644316, -0.00193375
644368, -0.00306017
644423, -0.00191983
644485, -0.00305702
644539, -0.0019171
644572, -0.00305928
644607, -0.00191323
644641, -0.00304607
644675, -0.00193239
644712, -0.00305232
644744, -0.00192001
644777, -0.00303769
644810, -0.00192822
644844, -0.00305494
644878, -0.00192882
644911, -0.00306207
644945, -0.00193703
644979, -0.00304268
645011, -0.00193453
645043, -0.00304738
645075, -0.00193286
645107, -0.00306291
645139, -0.00192424
645172, -0.0030381
645203, -0.00192578
645235, -0.00304923
645267, -0.00192394
645299, -0.00305517
645332, -0.00194381
645367, -0.00304298
645400, -0.0019303
645435, -0.00304601
645468, -0.00194393
645522, -0.00304762
645576, -0.00192715
645609, -0.0030434
645643, -0.00194387
645677, -0.00304125
645712, -0.00192614
645765, -0.0030343
645798, -0.0019375
645832, -0.00304441
645865, -0.00194422
645898, -0.00304494
645932, -0.00194238
645966, -0.00304548
646002, -0.00192727
646035, -0.00304244
646069, -0.00193655
646103, -0.00304197
646136, -0.00193607
646170, -0.0030337
646204, -0.00195523
646237, -0.00304732
646270, -0.00192721
646302, -0.00303263
646336, -0.00194684
646371, -0.00303917
646405, -0.00193691
646438, -0.00304084
646471, -0.00195071
646504, -0.00304042
646538, -0.00193691
646572, -0.00303186
646629, -0.00193536
646663, -0.00302371
646699, -0.00194648
646734, -0.00302739
646769, -0.00195594
646802, -0.00304125
646836, -0.00195237
646870, -0.00302579
646904, -0.00195166
646938, -0.00303132
646972, -0.00193685
647006, -0.00303632
647039, -0.00195166
647073, -0.0030343
647106, -0.00195178
647140, -0.00302293
647174, -0.00194833
647206, -0.00303096
647241, -0.00194869
647276, -0.00303132
647309, -0.00195737
647343, -0.00303019
647379, -0.00193851
647414, -0.00301948
647448, -0.00195243
647484, -0.00303215
647518, -0.00195154
647552, -0.00302597
647586, -0.00196213
647620, -0.00303174
647676, -0.00196076
647710, -0.00302585
647744, -0.00195434
647778, -0.00301205
647812, -0.00196974
647846, -0.00302234
647882, -0.00197206
647916, -0.00302323
647950, -0.0019516
647984, -0.00301389
648017, -0.00196558
648051, -0.00301038
648085, -0.00195148
648118, -0.00301615
648152, -0.00197296
648188, -0.00301127
648221, -0.00195773
648255, -0.00301466
648289, -0.00196189
648322, -0.00301116
648358, -0.00196082
648391, -0.00302745
648425, -0.0019654
648459, -0.00300723
648493, -0.00195969
648527, -0.00300604
648561, -0.0019698
648594, -0.00300348
648628, -0.00196136
648661, -0.00301169
648716, -0.00196849
648750, -0.00300901
648784, -0.00196362
648817, -0.00301032
648854, -0.00197522
648888, -0.00300669
648921, -0.00198414
648954, -0.00300437
648988, -0.00197141
649022, -0.00301609
649057, -0.00197022
649090, -0.00299254
649123, -0.00197319
649156, -0.00301133
649189, -0.00196701
649223, -0.00300842
649256, -0.00198039
649289, -0.00300687
649349, -0.00197849
649382, -0.0030124
649416, -0.00196843
649449, -0.00300515
649483, -0.00197759
649517, -0.00299741
649551, -0.00197462
649585, -0.00300669
649619, -0.00197664
649655, -0.00299557
649691, -0.00198438
649725, -0.00299385
649759, -0.00198051
