Время (мс),Сигнал (В) 
707625, -0.0189296
707635, -0.0180564
707645, -0.0188856
707655, -0.0180021
707665, -0.0188146
707675, -0.018063
707685, -0.0189201
707695, -0.0180673
707705, -0.0188317
707715, -0.0180209
707725, -0.0188012
707735, -0.0179948
707745, -0.0188188
707755, -0.0180427
707765, -0.0188052
707775, -0.0179825
707785, -0.018808
707796, -0.0180203
707811, -0.018971
707829, -0.0180889
707846, -0.0189232
707863, -0.0180381
707882, -0.0188062
707902, -0.0180325
707924, -0.0188633
707945, -0.0180513
707966, -0.0188716
707988, -0.0178907
708011, -0.0187508
708032, -0.017966
708052, -0.0188447
708082, -0.0180279
708118, -0.0189838
708156, -0.0180615
708197, -0.0188545
708240, -0.0179932
708285, -0.0189003
708337, -0.0180592
708388, -0.0189197
708441, -0.0180018
708497, -0.0188906
708555, -0.0179873
708614, -0.018885
708676, -0.0179938
708732, -0.0188784
708778, -0.0179993
708819, -0.0188958
708844, -0.0179299
708868, -0.0188522
708891, -0.0180305
708914, -0.0189098
708937, -0.0179855
708963, -0.0188418
708988, -0.0180139
709011, -0.019023
709034, -0.0180774
709058, -0.0188596
709081, -0.0179723
709104, -0.0188963
709128, -0.0179568
709153, -0.0188986
709180, -0.0180378
709207, -0.0188807
709232, -0.0179273
709274, -0.0188273
709315, -0.0179754
709359, -0.0189612
709404, -0.018016
709447, -0.0189675
709488, -0.0180283
709536, -0.018863
709582, -0.0179606
709628, -0.0189105
709673, -0.0180062
709720, -0.0189868
709768, -0.0180164
709817, -0.0188436
709864, -0.0179319
709910, -0.0188543
709950, -0.0180329
709977, -0.0188786
710002, -0.0179825
710027, -0.0189458
710052, -0.0179813
710080, -0.0189211
710110, -0.0180461
710136, -0.0189679
710162, -0.0179933
710189, -0.01891
710215, -0.0179904
710242, -0.0189179
710271, -0.0179688
710299, -0.0189067
710328, -0.0180432
710357, -0.0189644
710404, -0.0179639
710450, -0.0189372
710482, -0.0180144
710526, -0.0189363
710571, -0.0179976
710618, -0.0188581
710665, -0.0179146
710711, -0.0189284
710757, -0.0180442
710803, -0.0188813
710851, -0.0179564
710899, -0.0189594
710944, -0.0179176
710993, -0.0188917
711023, -0.0180001
711054, -0.0189611
711082, -0.0179681
711110, -0.0189824
711141, -0.0180051
711169, -0.0189641
711197, -0.0179664
711226, -0.0189578
711253, -0.0179079
711282, -0.0189965
711310, -0.017957
711338, -0.0189377
711366, -0.0179891
711394, -0.0189088
711425, -0.0179858
711454, -0.0189403
711485, -0.017931
711516, -0.018889
711561, -0.0179993
711606, -0.018921
711654, -0.0180051
711699, -0.0189106
711750, -0.0179397
711802, -0.018894
711849, -0.0179698
711896, -0.0189909
711944, -0.0179756
711991, -0.0189118
712037, -0.0179854
712068, -0.0188992
712097, -0.017983
712127, -0.018951
712156, -0.0179567
712190, -0.0188784
712220, -0.0180325
712249, -0.0188863
712281, -0.017946
712311, -0.0189242
712340, -0.01801
712368, -0.018968
712396, -0.0179547
712424, -0.018976
712454, -0.0180406
712484, -0.0189697
712513, -0.0179851
712547, -0.0189288
712576, -0.0179246
712607, -0.0189509
712636, -0.018001
712686, -0.0188634
712730, -0.0180317
712779, -0.018932
712826, -0.0179403
712873, -0.0189408
712919, -0.0179748
712965, -0.0189436
713011, -0.0179695
713058, -0.0188841
713103, -0.017985
713133, -0.0189541
713162, -0.0179742
713192, -0.0189528
