Время (мс),Сигнал (В) 
911046, -0.00566123
911056, -0.00549325
911066, -0.00563226
911076, -0.00547338
911087, -0.00562959
911097, -0.0055331
911107, -0.00566433
911117, -0.00550717
911127, -0.00564196
911136, -0.00550627
911147, -0.00565392
911157, -0.00553126
911167, -0.0056309
911176, -0.00551264
911189, -0.0056438
911197, -0.00550847
911207, -0.0056466
911216, -0.00552882
911227, -0.00565386
911237, -0.00550354
911247, -0.00564279
911258, -0.00556374
911269, -0.00565445
911281, -0.00548367
911294, -0.00567831
911308, -0.00551014
911320, -0.00564333
911334, -0.00552935
911358, -0.00562281
911371, -0.00549218
911386, -0.00566956
911405, -0.00553423
911423, -0.0056839
911445, -0.00550104
911468, -0.00566528
911493, -0.00551329
911520, -0.00563613
911549, -0.00551609
911579, -0.00562858
911611, -0.0054939
911644, -0.00565231
911680, -0.00553322
911716, -0.00567212
911754, -0.00551936
911793, -0.00563803
911835, -0.00553364
911876, -0.00566106
911918, -0.00550199
911960, -0.00565392
912005, -0.00553804
912050, -0.00565076
912097, -0.0054961
912139, -0.00561614
912182, -0.00550663
912220, -0.005661
912256, -0.00548968
912287, -0.00564809
912317, -0.00549289
912347, -0.00564571
912377, -0.00555642
912403, -0.00564779
912429, -0.00550877
912448, -0.00564714
912472, -0.00548593
912500, -0.00562501
912519, -0.00553405
912546, -0.00566266
912581, -0.00551704
912601, -0.00566498
912627, -0.00551181
912653, -0.00564101
912681, -0.00553429
912707, -0.0056309
912734, -0.0055143
912762, -0.00563946
912791, -0.00551169
912823, -0.00563226
912855, -0.00553483
912886, -0.00566546
912918, -0.00553304
912952, -0.0056607
912984, -0.00556011
913015, -0.0056554
913045, -0.00550193
913078, -0.00563381
913113, -0.00554583
913145, -0.00564244
913176, -0.00551216
913211, -0.00559402
913244, -0.0054873
913277, -0.0056447
913308, -0.00552894
913340, -0.0056397
913372, -0.00552347
913402, -0.00564529
913434, -0.00551496
913464, -0.00564428
913494, -0.00554464
913523, -0.00562435
913551, -0.00550871
913582, -0.00560561
913610, -0.00555077
913636, -0.0056394
913660, -0.00550729
913684, -0.0055983
913708, -0.00550705
913731, -0.00561721
913755, -0.00552608
913779, -0.0056215
913803, -0.00553988
913826, -0.00565368
913848, -0.00550865
913873, -0.00562667
913897, -0.0055359
913921, -0.00567105
913947, -0.0055638
913972, -0.0056369
913995, -0.00553197
914018, -0.00563565
914044, -0.00552454
914070, -0.00565106
914098, -0.00550443
914124, -0.00558771
914149, -0.00551609
914175, -0.00559574
914202, -0.00552656
914227, -0.00564981
914253, -0.00551407
914282, -0.00562471
914314, -0.00551579
914346, -0.00563684
914379, -0.00554684
914410, -0.00564315
914442, -0.00555535
914472, -0.00563209
914500, -0.00550526
914530, -0.00562108
914560, -0.00552097
914589, -0.00565059
914619, -0.00554078
914651, -0.00557141
914684, -0.00550443
914713, -0.0056328
914741, -0.00552525
914771, -0.00563351
914801, -0.00550223
914830, -0.00562209
914859, -0.00553382
914885, -0.00562887
914913, -0.00550205
914940, -0.00566599
914968, -0.00555791
914996, -0.00563476
915021, -0.00556861
915046, -0.00561947
915070, -0.00551502
915097, -0.00565326
915123, -0.00552644
915150, -0.00562203
915178, -0.00551543
915205, -0.00561008
915236, -0.00552799
915265, -0.00563238
915291, -0.00553043
915318, -0.0056306
915344, -0.00550384
915373, -0.00565832
915402, -0.00553346
915431, -0.00564071
915461, -0.00556171
915491, -0.0056472
915521, -0.00553631
915550, -0.0056168
915580, -0.00552037
915608, -0.00562429
915636, -0.00551752
915665, -0.00563905
915694, -0.00551793
915726, -0.00560294
915760, -0.00555951
915792, -0.00563458
915819, -0.00556356
915846, -0.0056466
915875, -0.00551014
915903, -0.00563012
915931, -0.00554607
915958, -0.00564018
915988, -0.00553043
916019, -0.00560645
916048, -0.00548373
916078, -0.00558527
916100, -0.0055287
916120, -0.00566552
916143, -0.00555351
916166, -0.00562953
916186, -0.00552198
916207, -0.00559967
916230, -0.00554232
916251, -0.0056438
916271, -0.00552703
916293, -0.00562459
916314, -0.00552584
916337, -0.00564137
916363, -0.00554476
916386, -0.00566421
916408, -0.00551549
916431, -0.00565677
916459, -0.00553048
916484, -0.00561567
916509, -0.00552822
916535, -0.00560811
916560, -0.00555029
916584, -0.00564577
916609, -0.00552418
916633, -0.0056281
916658, -0.00553161
916684, -0.00562001
916709, -0.00553893
916733, -0.00563423
916757, -0.00554113
916783, -0.00561787
916810, -0.00554179
916837, -0.00563102
916864, -0.00555232
916890, -0.00562352
916916, -0.00554202
916942, -0.00558807
916967, -0.00554464
916991, -0.00564737
917016, -0.00553602
