Время (мс),Сигнал (В) 
430390, -0.00287166
430401, -0.0027973
430410, -0.00286898
430420, -0.00281349
430430, -0.00287666
430440, -0.00279885
430450, -0.00287053
430460, -0.00281467
430470, -0.00288124
430481, -0.00279992
430494, -0.00287416
430508, -0.00281444
430523, -0.00287059
430537, -0.00281807
430552, -0.00287963
430568, -0.00281235
430588, -0.00286839
430614, -0.00281676
430651, -0.00286054
430686, -0.00282086
430721, -0.00287351
430759, -0.00280885
430798, -0.00286345
430838, -0.00280885
430881, -0.00286542
430927, -0.00281307
430972, -0.00286476
431020, -0.00281592
431067, -0.00287184
431115, -0.00280349
431183, -0.00286678
431282, -0.00281509
431390, -0.00286524
431487, -0.00280409
431528, -0.00286714
431573, -0.00281652
431614, -0.00286678
431661, -0.0028095
431709, -0.00285994
431756, -0.00281057
431804, -0.00286274
431851, -0.00281075
431898, -0.00286095
431944, -0.002802
431989, -0.00286137
432035, -0.00280807
432082, -0.00286143
432130, -0.00280516
432182, -0.00286881
432234, -0.00281676
432284, -0.00287012
432334, -0.00282134
432384, -0.00287368
432434, -0.00281259
432481, -0.00286244
432530, -0.00281009
432575, -0.00287368
432621, -0.00281194
432669, -0.00286946
432716, -0.00283341
432763, -0.00286732
432809, -0.00282431
432858, -0.00286655
432901, -0.00280748
432944, -0.00286577
432992, -0.00281331
433036, -0.00287767
433085, -0.00282717
433129, -0.00286875
433173, -0.00280855
433218, -0.00286655
433265, -0.00280986
433312, -0.00286542
433358, -0.00281937
433406, -0.00285887
433452, -0.00280908
433499, -0.00286619
433546, -0.00281319
433592, -0.00285988
433640, -0.00282318
433683, -0.00287255
433724, -0.00281182
433768, -0.00286518
433814, -0.00282681
433860, -0.00286
433905, -0.00282092
433948, -0.00286922
433997, -0.00282925
434040, -0.0028694
434083, -0.00281527
434132, -0.00287172
434181, -0.00282473
434229, -0.00287202
434276, -0.00282735
434323, -0.00286101
434367, -0.00282276
434411, -0.00286553
434454, -0.00281271
434498, -0.00285744
434549, -0.00281753
434594, -0.00287452
434641, -0.00283252
434686, -0.00286452
434728, -0.0028158
434771, -0.00285762
434812, -0.00282389
434856, -0.00285959
434898, -0.00282413
434942, -0.00286113
434985, -0.0028214
435027, -0.00287481
435071, -0.00282372
435114, -0.00286226
435159, -0.00281039
435200, -0.00287154
435241, -0.00282937
435281, -0.00287743
435321, -0.00282467
435361, -0.00287172
435401, -0.00281747
435442, -0.00286583
435483, -0.00281926
435524, -0.00286452
435565, -0.00282235
435606, -0.00286887
435647, -0.00281937
435687, -0.00286893
435730, -0.00281337
435773, -0.00286589
435817, -0.00282508
435861, -0.00286369
435905, -0.00282354
435949, -0.00287053
435995, -0.00281515
436040, -0.00285739
436086, -0.00281914
436131, -0.00285941
436179, -0.00281491
436226, -0.00286726
436274, -0.00282764
436323, -0.0028625
436368, -0.002823
436420, -0.00285715
436473, -0.00282556
436524, -0.00287481
436575, -0.00283002
436618, -0.00287351
436661, -0.00282253
436703, -0.00286321
436745, -0.00281039
436787, -0.00287083
436826, -0.00281051
436868, -0.002876
436910, -0.00282122
436952, -0.00286006
436993, -0.00282443
437035, -0.00286774
437075, -0.00282039
437117, -0.00286399
437158, -0.00282776
437200, -0.00287345
437241, -0.00281354
437283, -0.00286113
437327, -0.00283068
437370, -0.00285298
437410, -0.00282663
437452, -0.00286631
437494, -0.00281789
437537, -0.00285899
437580, -0.00281265
437622, -0.00285554
437666, -0.00282395
437708, -0.00286101
437748, -0.00283068
437788, -0.00286095
437826, -0.00282372
437865, -0.00285792
437902, -0.00281194
437940, -0.00286429
437981, -0.0028261
438021, -0.0028769
438062, -0.00282098
438100, -0.00286197
438137, -0.00281943
438174, -0.00286863
438213, -0.00281206
438252, -0.00285929
438304, -0.00283698
438342, -0.00286161
438378, -0.00282437
438415, -0.00287374
438454, -0.00282842
438494, -0.00285822
438533, -0.00281747
438574, -0.00285269
438613, -0.00282467
438651, -0.00286726
438689, -0.00282449
438727, -0.00285893
438765, -0.00282639
438803, -0.00286613
438844, -0.00282562
438883, -0.00286185
438922, -0.00282711
438960, -0.00286274
439000, -0.00281729
439038, -0.00287666
439077, -0.00282907
439115, -0.0028738
439153, -0.00282187
439192, -0.00286185
439232, -0.002828
439269, -0.00287023
439313, -0.0028208
439359, -0.00286256
439404, -0.00281337
439450, -0.0028675
439492, -0.00282824
439532, -0.00285982
439574, -0.00281527
439615, -0.00285673
439655, -0.0028308
439695, -0.00286542
439734, -0.00282229
439774, -0.00286785
439815, -0.00280902
439857, -0.00285804
439895, -0.00283365
439933, -0.00287244
439970, -0.00281408
440012, -0.00286667
440053, -0.00283044
440091, -0.00286048
440131, -0.00282669
440171, -0.00286036
440211, -0.00282568
440249, -0.00286304
440291, -0.00282312
440330, -0.00286048
440372, -0.00281729
440411, -0.00286
440450, -0.00282003
440490, -0.00286143
440529, -0.00282961
440569, -0.00286839
440608, -0.00281801
440647, -0.00287101
440688, -0.00282378
440729, -0.00287142
440772, -0.00281539
440815, -0.00285881
440861, -0.00280825
440903, -0.00286476
440946, -0.0028302
