Время (мс),Сигнал (В) 
471984, -0.00473802
471994, -0.00589316
472004, -0.00473284
472014, -0.00588388
472024, -0.00473802
472034, -0.00590637
472044, -0.0047611
472054, -0.00589953
472064, -0.00474652
472074, -0.00591999
472084, -0.00473724
472094, -0.00588912
472104, -0.00474456
472114, -0.00587901
472124, -0.00474985
472134, -0.00590667
472144, -0.00475997
472158, -0.0058815
472176, -0.00473849
472196, -0.00588543
472218, -0.00476098
472241, -0.00588769
472265, -0.00477377
472289, -0.00591827
472316, -0.00475521
472346, -0.00590595
472374, -0.00478013
472407, -0.00589031
472440, -0.00477264
472472, -0.00588977
472505, -0.00475652
472555, -0.00588668
472612, -0.00475562
472672, -0.00588924
472740, -0.0047693
472807, -0.00590149
472876, -0.00475735
472955, -0.00589655
473037, -0.00477995
473104, -0.00591957
473137, -0.00475301
473168, -0.00589245
473199, -0.00474593
473228, -0.005905
473257, -0.00473504
473287, -0.00590334
473317, -0.00475961
473345, -0.00589846
473375, -0.00474753
473404, -0.00588727
473433, -0.00475051
473463, -0.00588406
473493, -0.00477198
473522, -0.00589935
473554, -0.00477674
473585, -0.0059022
473619, -0.00476591
473650, -0.00588591
473682, -0.00478418
473715, -0.00588906
473747, -0.0047658
473780, -0.00585027
473813, -0.00477847
473845, -0.00590375
473880, -0.00473659
473913, -0.00585259
473963, -0.00475961
474013, -0.00586979
474077, -0.00475182
474138, -0.00588252
474185, -0.00476455
474233, -0.00587597
474268, -0.00474658
474302, -0.00588537
474336, -0.00475973
474369, -0.00588097
474403, -0.00476365
474436, -0.00585355
474470, -0.00476633
474504, -0.00587419
474536, -0.00473938
474569, -0.00586312
474601, -0.00475116
474634, -0.00586818
474666, -0.00474509
474698, -0.0058614
474730, -0.00476008
474763, -0.00585932
474795, -0.00477252
474827, -0.00585295
474859, -0.00476895
474892, -0.00588186
474925, -0.00478899
474959, -0.00587324
474995, -0.0047658
475030, -0.00586104
475064, -0.00474985
475114, -0.00584195
475167, -0.00476568
475217, -0.00584778
475266, -0.00476591
475319, -0.00588234
475354, -0.00477668
475388, -0.00587805
475422, -0.00476829
475456, -0.00587092
475489, -0.00480024
475526, -0.0058514
475560, -0.00477442
475594, -0.00585949
475628, -0.00480345
475662, -0.0058708
475695, -0.00477888
475729, -0.00583653
475763, -0.00478001
475800, -0.00585248
475832, -0.00478156
475865, -0.00585682
475897, -0.00478221
475930, -0.00585539
475962, -0.00479625
475997, -0.00584575
476030, -0.00478186
476063, -0.00585771
476097, -0.00478322
476130, -0.00586015
476164, -0.00479542
476219, -0.00586045
476253, -0.00477692
476302, -0.00585658
476356, -0.00477234
476390, -0.00585949
476424, -0.00479607
476459, -0.00583879
476493, -0.00476508
476527, -0.00586104
476562, -0.00480862
476596, -0.00582035
476631, -0.00477781
476665, -0.00584557
476699, -0.00481987
476734, -0.00583927
476768, -0.00480523
476802, -0.00584129
476836, -0.00478941
476875, -0.00583392
476911, -0.00478441
476947, -0.00582464
476983, -0.00478406
477017, -0.0058313
477053, -0.00478215
477087, -0.00582547
477122, -0.00481017
477156, -0.00585491
477191, -0.00483533
477224, -0.00585717
477258, -0.0047972
477292, -0.00585188
477341, -0.0048047
477392, -0.00584807
477428, -0.00479518
477462, -0.00582422
477495, -0.00480161
477531, -0.00583951
477565, -0.00479387
477599, -0.00583528
477632, -0.00481398
477666, -0.00582035
477701, -0.00480434
477735, -0.00582505
477769, -0.00482308
477803, -0.0058426
477837, -0.0048047
477871, -0.00585004
477922, -0.00479233
477958, -0.0058266
477993, -0.0048185
478027, -0.00580852
478061, -0.00481368
478094, -0.00582315
478129, -0.00481124
478163, -0.00582999
478198, -0.00478358
478232, -0.00583207
478266, -0.00481291
478302, -0.00583475
478335, -0.00480946
478389, -0.00581619
478440, -0.00482171
478476, -0.00580649
478512, -0.00483545
478546, -0.00584617
478579, -0.00482659
478612, -0.0058175
478645, -0.00480095
478679, -0.0058357
478713, -0.00479911
478747, -0.00580048
478780, -0.00479827
478814, -0.00582475
478847, -0.00480291
478880, -0.00582232
478913, -0.00481362
478968, -0.00580459
479001, -0.00481844
479036, -0.00582279
479071, -0.00485163
479104, -0.00581821
479137, -0.00481784
479172, -0.00578912
479205, -0.00482867
479238, -0.00580584
479271, -0.00482683
479305, -0.00581702
479338, -0.00484027
479371, -0.00580263
479424, -0.00481666
479476, -0.00578204
479528, -0.0048555
479560, -0.00580733
479594, -0.00485258
479629, -0.00579394
479662, -0.00483736
479696, -0.0057595
479731, -0.00482302
479764, -0.00578567
479797, -0.00484842
479830, -0.00578198
479863, -0.00483099
479895, -0.00581571
479931, -0.00484229
479964, -0.00578889
480019, -0.00484223
480052, -0.00578341
480085, -0.00483593
480118, -0.00576753
480152, -0.00483408
480185, -0.00580405
480220, -0.0048489
480253, -0.00580037
480289, -0.00487073
480322, -0.00577384
480355, -0.00483212
480389, -0.00579543
480422, -0.00488185
480472, -0.0058028
480524, -0.00484093
480577, -0.00578329
480610, -0.00484658
480644, -0.00578044
480679, -0.00486728
480712, -0.00579341
480746, -0.00484325
480782, -0.00576688
480815, -0.00486395
480850, -0.00575373
480882, -0.00485734
480916, -0.00575426
480948, -0.00484497
480985, -0.00577913
481019, -0.00487697
481071, -0.00578121
481105, -0.00485532
481139, -0.00577931
481174, -0.00486175
481208, -0.00577782
481243, -0.00486627
481279, -0.00577193
481317, -0.00484194
481353, -0.00578252
481387, -0.00483593
481420, -0.00575325
481455, -0.00485562
481488, -0.00574778
481521, -0.00487108
481574, -0.00575284
481625, -0.00485496
481659, -0.00576747
481693, -0.0048781
481728, -0.00575123
481761, -0.00487626
481796, -0.00577681
481831, -0.00485538
481866, -0.00574261
481901, -0.00485211
481935, -0.00573945
481970, -0.0048668
482005, -0.0057523
482041, -0.00483736
482074, -0.00572773
482109, -0.00486341
482143, -0.00575367
