Время (мс),Сигнал (В) 
562015, -0.0041017
562025, -0.00294971
562035, -0.00410872
562045, -0.00294477
562055, -0.00410355
562065, -0.00294388
562075, -0.00410045
562085, -0.00296101
562095, -0.00410081
562105, -0.00294685
562115, -0.00410265
562125, -0.00295197
562135, -0.00410616
562145, -0.0029556
562155, -0.00409778
562165, -0.00294132
562175, -0.00410842
562193, -0.00295708
562208, -0.00410218
562225, -0.0029603
562245, -0.00410783
562266, -0.00294638
562289, -0.00410218
562314, -0.00296018
562340, -0.00410206
562367, -0.00294804
562397, -0.0040926
562429, -0.00296208
562460, -0.00408939
562491, -0.00295488
562524, -0.00409992
562558, -0.00295982
562605, -0.00410527
562659, -0.00295649
562717, -0.00411437
562781, -0.0029569
562850, -0.00409629
562922, -0.00294709
563002, -0.00409242
563082, -0.00295768
563145, -0.00410503
563179, -0.00294679
563210, -0.00409201
563240, -0.00295524
563269, -0.00410991
563297, -0.00295732
563325, -0.0040932
563353, -0.0029459
563382, -0.00409064
563410, -0.00294269
563438, -0.00410254
563467, -0.00295375
563495, -0.00409891
563524, -0.0029434
563555, -0.00410206
563584, -0.00295399
563613, -0.00410432
563643, -0.00294132
563673, -0.00409569
563704, -0.0029503
563735, -0.00410087
563766, -0.00294673
563798, -0.00409998
563830, -0.00294911
563863, -0.00409522
563896, -0.00293549
563930, -0.00409855
563965, -0.00296172
564017, -0.00409599
564070, -0.00295238
564134, -0.00409314
564195, -0.00296345
564247, -0.0041023
564283, -0.00294864
564318, -0.00410503
564353, -0.00294983
564387, -0.00410212
564419, -0.00295827
564452, -0.00409748
564485, -0.00294513
564518, -0.00409635
564551, -0.00294519
564584, -0.00410474
564617, -0.00294858
564649, -0.00410212
564682, -0.00295339
564714, -0.00409665
564746, -0.00296143
564778, -0.00409718
564812, -0.00294293
564844, -0.00408255
564879, -0.0029453
564911, -0.00411027
564943, -0.00295548
564975, -0.00410355
565007, -0.00294864
565040, -0.00410164
565074, -0.00294989
565107, -0.00409474
565141, -0.00295833
565175, -0.00410747
565231, -0.00294661
565284, -0.00410057
565317, -0.00296024
565370, -0.00410111
565403, -0.0029418
565437, -0.00409403
565471, -0.0029547
565505, -0.00410777
565539, -0.0029453
565573, -0.0040923
565607, -0.00295238
565641, -0.00410979
565674, -0.0029387
565708, -0.00410688
565742, -0.00295
565775, -0.00410004
565810, -0.00295351
565844, -0.00408838
565878, -0.00294929
565912, -0.00411693
565945, -0.00294507
565978, -0.00410295
566010, -0.00294638
566046, -0.00411098
566078, -0.00295018
566111, -0.0040998
566143, -0.00296428
566175, -0.00410188
566210, -0.00295244
566245, -0.004102
566279, -0.00295696
566333, -0.00410111
566366, -0.00294334
566418, -0.00409766
566452, -0.002955
566485, -0.00410248
566519, -0.00294655
566553, -0.0041001
566586, -0.00296077
566620, -0.00410176
566654, -0.00294864
566688, -0.00409796
566722, -0.00295619
566756, -0.00410313
566790, -0.00294513
566825, -0.00409962
566859, -0.00295149
566896, -0.00409242
566930, -0.00295399
566963, -0.00411187
566997, -0.00296047
567031, -0.00410813
567065, -0.00294536
567098, -0.00409653
567132, -0.00294483
567166, -0.00410242
