Время (мс),Сигнал (В) 
934187, -0.00595896
934197, -0.00568628
934207, -0.00596622
934217, -0.00571156
934227, -0.00595134
934237, -0.00571299
934247, -0.00593403
934257, -0.00569687
934267, -0.00600012
934277, -0.00570775
934287, -0.0059774
934297, -0.0056817
934307, -0.00593665
934317, -0.005688
934327, -0.00595087
934337, -0.00569175
934347, -0.00592969
934357, -0.00567141
934367, -0.00594724
934378, -0.00572756
934399, -0.00597758
934413, -0.00570775
934428, -0.00598049
934445, -0.0057394
934461, -0.005989
934478, -0.00569258
934496, -0.00596419
934515, -0.00568289
934536, -0.00595218
934556, -0.00566593
934577, -0.00593772
934599, -0.00565421
934627, -0.00592886
934657, -0.00567837
934690, -0.00595456
934726, -0.00567842
934765, -0.00595854
934806, -0.00571031
934851, -0.00595539
934896, -0.00568901
934945, -0.00599572
934999, -0.00568533
935057, -0.00597205
935114, -0.0056808
935170, -0.0059498
935228, -0.00565517
935284, -0.00599043
935333, -0.00569276
935374, -0.00594456
935408, -0.00565219
935431, -0.00597722
935453, -0.00568711
935475, -0.00599679
935498, -0.00567956
935520, -0.00599209
935542, -0.00568366
935564, -0.00596901
935587, -0.00568378
935609, -0.00600643
935632, -0.00567926
935653, -0.00595747
935676, -0.00567135
935699, -0.00597704
935724, -0.00564089
935750, -0.00599108
935774, -0.00564434
935799, -0.00595277
935837, -0.00567135
935876, -0.00599376
935916, -0.00568895
935958, -0.00598299
935992, -0.00568527
936036, -0.00599298
936077, -0.00568182
936120, -0.00597722
936164, -0.00567926
936211, -0.00599953
936257, -0.00568485
936304, -0.00597151
936351, -0.00561252
936397, -0.00593802
936439, -0.00565749
936477, -0.00600101
936512, -0.00565891
936549, -0.00598067
936573, -0.00566183
936595, -0.00600512
936620, -0.00571923
936644, -0.00601404
936667, -0.00566195
936689, -0.00601666
936715, -0.00565029
936741, -0.00600381
936763, -0.00563702
936786, -0.00597924
936809, -0.00565903
936832, -0.00599988
936867, -0.00566492
936904, -0.0059953
936939, -0.00566195
936976, -0.00602136
937011, -0.00566944
937047, -0.0059837
937081, -0.00566391
937117, -0.00596467
937156, -0.00568687
937199, -0.00604926
937239, -0.00568866
937274, -0.00601398
937309, -0.00566635
937344, -0.00603956
937382, -0.00566944
937419, -0.00597466
937461, -0.00562584
937504, -0.00598168
937544, -0.00564779
937585, -0.00595765
937624, -0.00563393
937663, -0.00598489
937699, -0.00566308
937722, -0.00599994
937746, -0.00566807
937768, -0.00601327
937791, -0.00566064
937813, -0.00602035
937837, -0.00565493
937862, -0.006042
937898, -0.00562994
937937, -0.00596312
937975, -0.00559181
938012, -0.00599667
938032, -0.00564369
938066, -0.00601874
938099, -0.00562168
938132, -0.00598828
938167, -0.00568063
938202, -0.00603629
938236, -0.0056494
938282, -0.00604688
938318, -0.00567313
938352, -0.00600565
938387, -0.00562667
938420, -0.00601386
938454, -0.00563042
938493, -0.00602528
938535, -0.0056193
938577, -0.00601571
938619, -0.00561906
938663, -0.00597294
938703, -0.00561198
938741, -0.00600833
938779, -0.00564696
938803, -0.00600143
938827, -0.00565213
938850, -0.00602939
938874, -0.00566831
938900, -0.00602927
938923, -0.00565088
938959, -0.00607115
938999, -0.00564166
939034, -0.00599887
939059, -0.00561965
939097, -0.00599614
939133, -0.00564499
939157, -0.00602511
939195, -0.00560585
939231, -0.00598995
939269, -0.00564731
939305, -0.00604206
939342, -0.00564505
939379, -0.00604444
939418, -0.00564511
939456, -0.00603201
939480, -0.00562852
939518, -0.00604694
939555, -0.00562239
939595, -0.00601844
939631, -0.00562703
939674, -0.00605253
939712, -0.00561186
939751, -0.00600554
939788, -0.00557557
939829, -0.00605318
939850, -0.00563012
